,,0,1
F115,count,8643.0,81.0
F115,mean,0.590511396505843,0.721111111111111
F115,std,0.21692682701555782,0.24075921581530374
F115,min,0.0,0.24
F115,25%,0.45,0.48
F115,50%,0.52,0.73
F115,75%,0.7,1.0
F115,max,1.0,1.0
F321,count,8916.0,81.0
F321,mean,1.1526323463436516,1.1109876543209876
F321,std,0.3982238354094357,0.32861301304981666
F321,min,0.0,0.1
F321,25%,1.0,1.0
F321,50%,1.07,1.04
F321,75%,1.29,1.37
F321,max,10.6,2.03
F527,count,8214.0,80.0
F527,mean,1.000653761869978,0.9790000000000001
F527,std,0.7556938853947941,0.3443342503286118
F527,min,0.0,0.0
F527,25%,0.83,0.9225000000000001
F527,50%,1.0,1.0
F527,75%,1.13,1.1025
F527,max,48.42,2.03
F531,count,8360.0,81.0
F531,mean,1.4393600478468898,1.381111111111111
F531,std,0.9046215614437214,0.5720860949192875
F531,min,0.0,0.15
F531,25%,1.0,1.0
F531,50%,1.21,1.21
F531,75%,1.68,1.61
F531,max,20.96,3.34
F670,count,8985.0,81.0
F670,mean,0.0902615470228158,0.2345679012345679
F670,std,0.28657205066635244,0.42636853009666437
F670,min,0.0,0.0
F670,25%,0.0,0.0
F670,50%,0.0,0.0
F670,75%,0.0,0.0
F670,max,1.0,1.0
F1692,count,8994.0,81.0
F1692,mean,0.2610629308427841,0.1111111111111111
F1692,std,0.7821129602386343,0.5244044240850758
F1692,min,0.0,0.0
F1692,25%,0.0,0.0
F1692,50%,0.0,0.0
F1692,75%,0.0,0.0
F1692,max,14.0,4.0
F2082,count,8994.0,81.0
F2082,mean,0.02089762667055815,0.0
F2082,std,0.08136228044690792,0.0
F2082,min,0.0,0.0
F2082,25%,0.0,0.0
F2082,50%,0.0,0.0
F2082,75%,0.0,0.0
F2082,max,1.0,0.0
F2122,count,8997.0,81.0
F2122,mean,0.0456851452474158,0.0052307753580246915
F2122,std,0.13248368408438857,0.019140012783096544
F2122,min,0.0,0.0
F2122,25%,0.0,0.0
F2122,50%,0.0,0.0
F2122,75%,0.012658228,0.0
F2122,max,1.0,0.142857143
F2582,count,5607.0,71.0
F2582,mean,0.07649366862850009,0.07408450704225351
F2582,std,0.5211458370785699,0.2969250865828846
F2582,min,-0.88,-0.33
F2582,25%,-0.13,-0.025
F2582,50%,0.0,0.0
F2582,75%,0.13,0.13
F2582,max,18.89,1.97
F2678,count,6460.0,48.0
F2678,mean,351.25453405572756,11.413541666666665
F2678,std,20936.61289041996,79.65847522030381
F2678,min,-0.91,-0.59
F2678,25%,-0.33,-0.29000000000000004
F2678,50%,-0.12,-0.03
F2678,75%,0.03,0.0
F2678,max,1626943.59,551.8
F2737,count,8889.0,81.0
F2737,mean,0.3018067274159073,0.13296296296296298
F2737,std,20.623205563005104,1.2571161883895663
F2737,min,-0.94,-0.63
F2737,25%,-0.39,-0.33
F2737,50%,-0.15,-0.12
F2737,75%,0.0,0.0
F2737,max,1707.6,7.94
F2956,count,7978.0,79.0
F2956,mean,133.45826021559287,58.379746835443036
F2956,std,361.1143382993702,72.16084309969058
F2956,min,0.0,7.0
F2956,25%,25.0,22.5
F2956,50%,64.0,41.0
F2956,75%,124.0,71.5
F2956,max,11548.0,580.0
F3043,count,3244.0,14.0
F3043,mean,232.45314426633786,129.92857142857142
F3043,std,711.1546386673122,113.63197294214896
F3043,min,0.0,28.0
F3043,25%,9.0,51.0
F3043,50%,87.5,78.0
F3043,75%,226.0,167.5
F3043,max,21819.0,394.0
F3836,count,9001.0,81.0
F3836,mean,-48941255.070966564,1486627.1220987653
F3836,std,588439633.3341795,6054881.0821170565
F3836,min,-20282842662.0,-29521795.71
F3836,25%,44174.77,42359.78
F3836,50%,382529.59,338197.08
F3836,75%,2029648.16,1201907.36
F3836,max,16155853640.0,32410863.02
F3887,count,9001.0,81.0
F3887,mean,103.78280191089878,107.61728395061728
F3887,std,93.59190514482175,85.38860695391901
F3887,min,0.0,1.0
F3887,25%,27.0,52.0
F3887,50%,94.0,99.0
F3887,75%,150.0,135.0
F3887,max,1510.0,452.0
F3894,count,8998.0,81.0
F3894,mean,34.32796176928206,32.839506172839506
F3894,std,17.347109754363302,13.894654358892359
F3894,min,-2.0,1.0
F3894,25%,25.0,24.0
F3894,50%,34.0,31.0
F3894,75%,45.0,39.0
F3894,max,94.0,87.0
