,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Unnamed: 0,9082.0,4541.5,2621.89190598443,1.0,2271.25,4541.5,6811.75,9082.0,0.0,-1.2000000000000002
F1,2591.0,0.6797221150135083,0.39257323538919714,0.0,0.43,1.0,1.0,1.0,-0.7341468987822385,-1.039284909468185
F2,1532.0,0.6561292428198434,0.39841976099373894,0.0,0.33,1.0,1.0,1.0,-0.618278564286374,-1.2046565853233042
F3,1448.0,0.7247306629834254,0.4088694400970926,0.0,0.5,1.0,1.0,1.0,-1.0012629135722575,-0.7728631547957483
F4,2591.0,0.691721343110768,0.40110509643001746,0.0,0.38,1.0,1.0,1.0,-0.8098485018758919,-1.0295607875125887
F5,1532.0,0.6594973890339426,0.40424229222423225,0.0,0.32,1.0,1.0,1.0,-0.643029626675891,-1.235649147552354
F6,1448.0,0.7278107734806629,0.41371674867644265,0.0,0.43,1.0,1.0,1.0,-1.0228940487301499,-0.7865243275018607
F7,855.0,0.4871345029239766,0.3999286814819043,0.0,0.0,0.5,1.0,1.0,0.0772930466534958,-1.5258294048641645
F8,488.0,0.4418442622950819,0.4358822160761396,0.0,0.0,0.33,1.0,1.0,0.24920938477923574,-1.6798875185037923
F9,725.0,0.5086758620689655,0.3982775914071843,0.0,0.0,0.5,1.0,1.0,-0.00400848502374433,-1.5169960230276585
F10,855.0,0.4872748538011696,0.42361822546689903,0.0,0.0,0.47,1.0,1.0,0.05988487957307852,-1.703993614403173
F11,488.0,0.44465163934426233,0.44873067792549626,0.0,0.0,0.325,1.0,1.0,0.22693932561299784,-1.7738868639218952
F12,725.0,0.5136275862068965,0.42001275869905935,0.0,0.0,0.53,1.0,1.0,-0.04901985507084845,-1.6812935730254566
F13,8997.0,0.6483694564854952,0.20829656469191868,0.0,0.5,0.6,0.78,1.0,0.3467689036407481,-0.5436394147462487
F14,8690.0,0.6313670886075949,0.24779277884635648,0.0,0.48,0.59,0.82,1.0,-0.08266041348814875,-0.35124270681658887
F15,8748.0,0.6496536351165981,0.21750338550600554,0.0,0.5,0.61,0.8,1.0,0.20362044190218437,-0.5443068608998294
F16,8997.0,0.7246348782927644,0.23903562674923895,0.0,0.53,0.74,0.98,1.0,-0.46291466417215993,-0.689815438209763
F17,8690.0,0.6946156501726122,0.28367849996449856,0.0,0.51,0.72,0.99,1.0,-0.7101305654995451,-0.2737261864095304
F18,8748.0,0.7310482395976223,0.2378520568866972,0.0,0.55,0.75,0.98,1.0,-0.5464882687642256,-0.4682401670686982
F19,8678.0,0.6382472920027656,0.2077554305545358,0.0,0.5,0.59,0.76,1.0,0.28133287537980217,-0.20218731826267922
F20,8075.0,0.608092879256966,0.24369295419699968,0.0,0.47,0.57,0.75,1.0,-0.09828757828142536,-0.08311129399161299
F21,8402.0,0.6412187574387052,0.21497965121682652,0.0,0.5,0.6,0.78,1.0,0.18162736824340955,-0.33520452160001835
F22,8678.0,0.7105853883383269,0.24199414190109073,0.0,0.53,0.72,0.96,1.0,-0.4742928113749925,-0.5218239141112702
F23,8075.0,0.6676185758513932,0.2858011579044116,0.0,0.49,0.68,0.95,1.0,-0.6347157885807,-0.33874841212013695
F24,8402.0,0.718736015234468,0.23888513636847977,0.0,0.54,0.73,0.96,1.0,-0.5235322756339058,-0.40655769444970424
F25,8678.0,0.6382472920027656,0.2077554305545358,0.0,0.5,0.59,0.76,1.0,0.28133287537980217,-0.20218731826267922
F26,8075.0,0.608092879256966,0.24369295419699968,0.0,0.47,0.57,0.75,1.0,-0.09828757828142536,-0.08311129399161299
F27,8402.0,0.6412187574387052,0.21497965121682652,0.0,0.5,0.6,0.78,1.0,0.18162736824340955,-0.33520452160001835
F28,8678.0,0.7105853883383269,0.24199414190109073,0.0,0.53,0.72,0.96,1.0,-0.4742928113749925,-0.5218239141112702
F29,8075.0,0.6676185758513932,0.2858011579044116,0.0,0.49,0.68,0.95,1.0,-0.6347157885807,-0.33874841212013695
F30,8402.0,0.718736015234468,0.23888513636847977,0.0,0.54,0.73,0.96,1.0,-0.5235322756339058,-0.40655769444970424
F31,1356.0,0.5731415929203539,0.41663067508291296,0.0,0.0,0.63,1.0,1.0,-0.3011465926527013,-1.5412321899236332
F32,1356.0,0.5731415929203539,0.41663067508291296,0.0,0.0,0.63,1.0,1.0,-0.3011465926527013,-1.5412321899236332
F33,1356.0,0.5767699115044247,0.4238392895074461,0.0,0.0,0.67,1.0,1.0,-0.3208700391388366,-1.595602948201857
F34,1356.0,0.5767699115044247,0.4238392895074461,0.0,0.0,0.67,1.0,1.0,-0.3208700391388366,-1.595602948201857
F35,1364.0,0.6297287390029326,0.4562652621662066,0.0,0.0,1.0,1.0,1.0,-0.5337019124624376,-1.5997531885730056
F36,15.0,0.5333333333333333,0.48057505236162745,0.0,0.0,0.5,1.0,1.0,-0.14768851605478853,-2.0851149063498937
F37,1361.0,0.6291917707567966,0.4564011320581868,0.0,0.0,1.0,1.0,1.0,-0.5314208408461868,-1.6019078869765835
F38,1364.0,0.626642228739003,0.46369708074436605,0.0,0.0,1.0,1.0,1.0,-0.5169658604833297,-1.6591179693665241
F39,15.0,0.5413333333333333,0.5025487420094076,0.0,0.0,0.95,1.0,1.0,-0.16838358708669768,-2.266997736129597
F40,1361.0,0.6261866274797943,0.4638298913241255,0.0,0.0,1.0,1.0,1.0,-0.5152539774302187,-1.660791567782149
F41,1453.0,0.6614865794907089,0.4168124722753433,0.0,0.33,1.0,1.0,1.0,-0.6768096160908202,-1.2547008839777154
F42,69.0,0.5543478260869565,0.40505438364303614,0.0,0.0,0.57,1.0,1.0,-0.24129130501694404,-1.470336502565711
F43,1393.0,0.6659942569992822,0.4169789473051726,0.0,0.33,1.0,1.0,1.0,-0.698248749651109,-1.2338423921464092
F44,1453.0,0.6611699931176875,0.4262281000341795,0.0,0.13,1.0,1.0,1.0,-0.6808117442515546,-1.3177843293727396
F45,69.0,0.5597101449275362,0.41023297188194946,0.0,0.0,0.55,1.0,1.0,-0.26674798262787003,-1.5256121668270364
F46,1393.0,0.6651040918880115,0.42640825668570104,0.0,0.14,1.0,1.0,1.0,-0.6983806089702379,-1.3007076885422308
F47,1154.0,0.3863778162911612,0.46409603941490873,0.0,0.0,0.0,1.0,1.0,0.46177926820197235,-1.690964574874722
F48,62.0,0.6796774193548387,0.4422296997608914,0.0,0.0,1.0,1.0,1.0,-0.8072675075657555,-1.2466022577005185
F49,1114.0,0.37195691202872533,0.4627043963798808,0.0,0.0,0.0,1.0,1.0,0.5269252013537608,-1.6334590359196242
F50,1154.0,0.38641247833622183,0.47307463225644686,0.0,0.0,0.0,1.0,1.0,0.46657026275131064,-1.7363880622874661
F51,62.0,0.6695161290322581,0.4500725894799231,0.0,0.0,1.0,1.0,1.0,-0.7359744334639423,-1.402252146906776
