,MI_Score
F3912,0.04743394362346487
F1863,0.010212797384848926
F3484,0.01018226274175893
F1501,0.008676092704782978
F267,0.008350312406143479
F1495,0.008276291814118708
F1489,0.008100798056284608
F1381,0.008041374054821193
F1057,0.007931096175285868
F1821,0.00792471822291163
F1827,0.00792471822291163
F2486,0.007855821106955818
F1597,0.007746649342690648
F1755,0.007741590920911534
F3490,0.007672700840536284
F1387,0.007652825919407746
F1814,0.0075901689250534865
F3805,0.007576562368279194
F1609,0.00756208899042754
F3811,0.007516398617487208
F3800,0.007510018788496442
F1603,0.007509112545209473
F1165,0.007415214948406135
F1713,0.007350235520688586
F1719,0.0073487240018534905
F1171,0.007342029176205744
F1815,0.007316820126424761
F3898,0.007291703626317925
F1707,0.007261302335241693
F1393,0.007171837958948046
F1861,0.007083610610221003
F1177,0.006998981836778717
F955,0.006976024595171548
F2143,0.006893279958353871
F2149,0.006893279958353871
F1605,0.006827449165593524
F1819,0.006822362728000186
F2489,0.00681215752820441
F1611,0.00679201300446397
F3496,0.006752568013263516
F1825,0.006748957457501814
F2030,0.006737192406626957
F1753,0.006726361584020291
F3801,0.006664766344294248
F1273,0.006650020981954219
F3700,0.006632580891877682
F1069,0.006604075567660295
F1717,0.006531854604693521
F1711,0.006531854604693521
F1320,0.0064733635025707725
F270,0.006328359630340508
F2151,0.006296356381928714
F2145,0.006296356381928714
F2387,0.006275805818983682
F1705,0.006251183951560435
F1647,0.006248960047644303
F2686,0.0062237629747996515
F3799,0.006214424333777724
F1382,0.006192497297477395
F3806,0.006155381079960387
F1813,0.006099250899721076
F3813,0.006088527046026027
F3532,0.0060802638947551335
F1063,0.006056748551500957
F961,0.00605172339196991
F1820,0.0060462251633730535
F471,0.006045746451846634
F1173,0.006036870473795086
F2138,0.0060328836924445906
F1215,0.006009334560209245
F1826,0.005966203525904379
F2042,0.005894000729794402
F2137,0.005882101032535503
F1491,0.005880578066698616
F3640,0.005834570026425956
F1539,0.00581766149509666
F1285,0.005810687595721342
F3812,0.005800407986206624
F469,0.005783170371475688
F949,0.005779613014936791
F3712,0.0057735725996701515
F265,0.0057711427176234675
F3807,0.005754717728319481
F1599,0.005664499568895476
F1933,0.005650293923600835
F1927,0.005650293923600835
F1706,0.0056357340624973995
F1056,0.005542094941202169
F996,0.005539053484957535
F1490,0.005532295453573477
F1921,0.005494261402501643
F1497,0.0054879294561445136
F1502,0.005486956117550346
F2182,0.005454147161586986
F1503,0.005452041056240087
F1167,0.005420698449171257
F2484,0.00541533065965305
F573,0.005413713755857974
F2036,0.0054042996081944406
F1212,0.005398081062049864
F1428,0.0053684375669070805
F2144,0.0053515476467250744
F3748,0.005320628276588857
F2150,0.005304009799726894
F1058,0.005260099150803832
F1712,0.0052559051170775195
F1210,0.005216048789206229
F1395,0.0052055383768760954
F1070,0.005192184491374152
F2787,0.005177507183837249
F1166,0.005164663831606631
F1718,0.005162052070182277
F1064,0.005148628356034024
F1279,0.005148515720029612
F1429,0.005122171257579522
F159,0.005089378147773882
F999,0.005038921462220625
F1537,0.005029214512437097
F1213,0.004995751334566867
F2684,0.004977848605703161
F3604,0.004969369582387473
F1929,0.004961375388837341
F1935,0.004961375388837341
F1179,0.0049564821691695515
F2385,0.004938978467710076
F2139,0.0049276969859934905
F3592,0.004913240547942066
F2291,0.004911848692829457
F950,0.004901436801477477
F1274,0.004865594010813212
F1178,0.00485628721941711
F1172,0.00484975941742849
F2031,0.0048279470811386505
F1858,0.0048250065978462375
F1824,0.00481984060217433
F1923,0.004797283616682635
F1105,0.00478034635645086
F1496,0.004771344058963067
F2390,0.004757170160406998
F160,0.004743307838497857
F951,0.004726317285091097
F1598,0.004720084220284471
F1071,0.004704544151783896
F2043,0.004651697746445138
F2037,0.004651697746445138
F1855,0.004637553919354609
F1394,0.004631544435291901
F1388,0.004625239922490421
F3706,0.0046165648364570044
F3106,0.004584758902189123
F2386,0.00454861135979856
F2029,0.004536780439205801
F2026,0.004524284635749276
F1383,0.004499027540469602
F1104,0.004476871972002638
F162,0.004470721131317301
F1059,0.004469229188313828
F2250,0.004443532154668306
F3908,0.004431324950144755
F1280,0.004405492592984617
F2035,0.004370070021214589
F2041,0.004370070021214589
F962,0.004360010900700928
F1645,0.00433106445727105
F2586,0.0043283449234197136
F1065,0.004323866882735672
F956,0.004307085251585296
F1910,0.004306313331552958
F1536,0.004301661108666588
F3751,0.004280289007164595
F3495,0.004272933070256668
F1818,0.004260789003613041
F1286,0.00421836946539067
F1922,0.004200513005526596
F995,0.004194076085641485
F1281,0.00419101714110004
F1096,0.004169926336730079
F158,0.0041209683901994865
F1604,0.00410136745883638
F369,0.004089349613511262
F1323,0.004087690080337936
F2079,0.004067993263284664
F1610,0.004058800393538786
F1275,0.004035648373665879
F61,0.004019943373304691
F1431,0.003960525944482263
F2584,0.003950238741150525
F1287,0.003919260262646218
F963,0.0039090605498071085
F1107,0.0038906616135471195
F1103,0.0038770908565652906
F3643,0.00385646392287764
F59,0.003849982727116008
F3598,0.0038450486307968212
F1926,0.003844896224891259
F1389,0.0038441495110294044
F14,0.0038377512205842734
F157,0.003817722417666314
F3108,0.0038173124837723726
F3103,0.00380117309882122
F223,0.003782358155857257
F1486,0.0037725907805495895
F3913,0.003767015150088149
F2290,0.0037507706326097567
F1860,0.00374208152761224
F3580,0.0037402707060318896
F2346,0.003735306332086741
F3071,0.003730793090869322
F1066,0.003720356756120591
F1867,0.0036961919620924766
F1932,0.0036848125380002372
F125,0.003684200189396858
F2256,0.0036749259917316923
F3742,0.003668867963104394
F3066,0.0036647620842303885
F1492,0.003661953005001717
F3832,0.0036501444135653704
F957,0.0036239264244151137
F3753,0.0036027434092527066
F1538,0.003592955163926881
F3499,0.0035918007779752736
F2447,0.003585694674669737
F60,0.0035567373866619567
F161,0.0035483959301608747
F1857,0.003546366240339549
F1859,0.003541838958854071
