,importance
F2489,481
F3898,397
F3484,363
F3811,360
F3499,359
F270,343
F3908,310
F2999,295
F2182,289
F3805,288
F267,279
F2737,235
F3700,226
F1921,225
F3490,223
F3642,220
F3887,218
F3751,218
FEAT_age_x_freq,214
F2484,213
F162,212
F2582,211
F3813,204
F1926,203
F469,201
F3753,190
F2074,182
F3894,179
F159,177
F2387,168
F2645,167
F2686,166
F2486,164
F1818,162
F321,161
F3750,152
F3812,150
FEAT_amount_deviation,150
F1966,149
F3801,146
F2390,141
F3640,137
F1647,136
FEAT_large_amount_mover,134
F2388,133
F2291,132
F64,131
FEAT_dist_cluster_0,130
F1863,125
F3799,124
F1813,123
F2678,122
F1753,116
FEAT_multichannel_signal,111
FEAT_net_fund_flow,110
F3717,110
FEAT_dist_cluster_2,109
F1819,106
F1597,106
F3807,105
F158,105
F2784,102
F3833,102
F2684,101
F1165,101
F1603,101
F3532,100
F265,100
F3598,100
F3661,99
F2256,99
F1965,98
F3800,95
F949,95
FEAT_dist_cluster_4,94
F1057,94
F950,94
F1598,93
F1821,93
F1209,92
LOG_F3811,92
F1166,87
F262,85
F1644,85
F1706,84
F2029,83
F2138,79
F268,79
F3806,78
F1058,77
LOG_F1605,77
F1167,77
F2290,76
F2042,74
F2137,72
F3836,72
F1922,71
F62,71
F1279,70
F1814,68
F3043,67
F1599,67
F573,66
F3489,64
F1826,63
F3744,63
F369,63
F1923,62
F2956,61
F1280,60
F1431,60
F1711,58
F2447,58
F1718,58
F1858,57
F1705,57
F1287,56
F2787,54
F161,53
FEAT_flow_magnitude,52
FEAT_log_F3836,50
F3913,49
F1178,48
F1539,47
F1861,47
F1273,46
F1815,46
F1059,46
F2145,43
F527,42
F2149,42
F1605,41
F1933,40
F1719,39
F1755,39
F1707,39
F1489,38
FEAT_dist_cluster_3,37
F115,37
LOG_F1597,36
LOG_F1603,36
F951,36
F1935,36
F20,35
F961,34
F3832,34
F670,33
F1381,32
F3712,32
FEAT_out_in_count_ratio,32
F2122,31
F1177,31
LOG_F1057,28
F3580,28
F1857,27
F844,27
LOG_F1813,25
F471,24
F2030,24
F1179,23
F1050,23
LOG_F3806,23
LOG_F1815,22
F1213,20
F531,18
F2150,18
LOG_F2138,18
F1069,18
F1382,17
LOG_F1814,17
F2139,17
LOG_F1819,15
F1491,15
FEAT_dist_cluster_1,14
LOG_F1177,14
F1503,14
LOG_F1821,13
F962,13
F1105,12
F1429,12
F1387,12
F1692,11
F2043,11
F1537,11
F1214,10
LOG_F1166,10
LOG_F3898,9
LOG_F2149,8
LOG_F1381,8
F1394,8
F1211,7
LOG_F1502,7
F1275,6
LOG_F2030,5
F1070,5
LOG_F1178,4
FEAT_kmeans_cluster,4
F1495,4
F1215,3
F1274,3
F1502,3
LOG_F1489,3
F963,3
F1383,2
LOG_F1707,2
F1065,1
F1827,0
F2143,0
F1501,0
LOG_F2489,0
LOG_F1825,0
F1611,0
F1927,0
F3706,0
F1107,0
F1060,0
F995,0
F1169,0
F1388,0
F1212,0
F1712,0
F1929,0
F955,0
F1281,0
F1064,0
F1285,0
F2037,0
F1104,0
F2144,0
F3493,0
F1389,0
F3496,0
F1497,0
F2151,0
F1428,0
F1496,0
F1427,0
F2036,0
F2082,0
F1717,0
F1171,0
F1713,0
F1284,0
F1395,0
F1286,0
F1172,0
F1063,0
F1490,0
F1820,0
F956,0
FEAT_short_long_amount_ratio,0
F1393,0
FEAT_log_F321,0
FEAT_dormancy_activation,0
FEAT_log_F670,0
FEAT_velocity_burst,0
FEAT_silent_to_active,0
FEAT_log_F115,0
F1825,0
LOG_F2143,0
LOG_F1609,0
LOG_F1827,0
LOG_F1501,0
LOG_F1611,0
LOG_F1495,0
F1609,0
